year;X1;X2;X3;X4;X5;X6;Y
2011;4922,4;23369;1865,9;24951,2;12,7;669,4;2404,8
2012;4130,7;26629;1807,9;14648,1;10,7;644,1;2302,2
2013;4137,4;29792;1749,5;39558,7;10,8;668;2206,2
2014;3889,4;32495;1690;32365;11,3;693,7;2190,6
2015;4263,9;34030;1577;46568,8;13,4;611,6;2388,5
2016;4243,5;36709;1444,5;27929,6;13,2;608,3;2160,1
2017;3966,5;39167;1304,6;37218,5;12,9;611,4;2058,5
2018;3657;43724;1208,6;51418,1;12,6;583,9;1991,5
2019;3461,2;47867;1126,7;116166,5;12,3;620,7;2024,3
2020;4316;51344;1102,8;126304,8;12,1;564,7;2044,2
2021;3624,6;57244;1077,7;159875,4;11;644,2;2004,4
